name,cluster
Calm_to_Boiling_50V_on_StartT65.csv,0
"MATLAB 1-02 PM Thu, Nov 7, 2024 Run8 .csv",-1
"MATLAB 1-12 PM Thu, Nov 7, 2024 Run9 .csv",1
"MATLAB 1-21 PM Thu, Nov 7, 2024 Run10 .csv",0
"MATLAB 1-38 PM Thu, Nov 7, 2024 Run15 .csv",-1
"MATLAB 1-41 PM Thu, Nov 7, 2024 Run16 .csv",-1
"MATLAB 1-44 PM Thu, Nov 7, 2024 Run17 .csv",1
"MATLAB 1-48 PM Thu, Nov 7, 2024 Run18 .csv",1
"MATLAB 1-54 PM Tue, Oct 29, 2024 Run15 .csv",-1
"MATLAB 11-34 AM Tue, Mar 5, 2024 Run0 .csv",0
"MATLAB 12-04 PM Thu, Nov 7, 2024 Run0 .csv",1
"MATLAB 12-14 PM Thu, Nov 7, 2024 Run2 .csv",1
"MATLAB 12-21 PM Thu, Nov 7, 2024 Run3 .csv",1
"MATLAB 12-26 PM Thu, Nov 7, 2024 Run4 .csv",1
"MATLAB 12-28 PM Thu, Nov 7, 2024 Run5 .csv",1
"MATLAB 12-47 PM Thu, Nov 7, 2024 Run6 .csv",1
"MATLAB 12-54 PM Thu, Nov 7, 2024 Run7 .csv",1
"MATLAB 2-09 PM Tue, Oct 22, 2024 Run3 .csv",0
"MATLAB 2-11 PM Tue, Oct 22, 2024 Run4 .csv",0
"MATLAB 2-21 PM Mon, Oct 28, 2024 Run4 .csv",1
"MATLAB 2-21 PM Thu, Oct 24, 2024 Run5 .csv",1
"MATLAB 2-23 PM Mon, Oct 28, 2024 Run5 .csv",1
"MATLAB 2-23 PM Tue, Oct 22, 2024 Run6 .csv",0
"MATLAB 2-40 PM Tue, Oct 22, 2024 Run8 .csv",0
"MATLAB 2-43 PM Thu, Oct 31, 2024 Run16 .csv",-1
"MATLAB 2-45 PM Thu, Oct 31, 2024 Run17 .csv",1
"MATLAB 2-46 PM Thu, Oct 31, 2024 Run18 .csv",1
"MATLAB 2-55 PM Tue, Oct 22, 2024 Run12 .csv",0
"MATLAB 2-58 PM Tue, Oct 22, 2024 Run13 .csv",0
"MATLAB 3-00 PM Mon, Oct 28, 2024 Run12 .csv",-1
"MATLAB 3-00 PM Tue, Oct 15, 2024 Run5 .csv",0
"MATLAB 3-02 PM Tue, Oct 22, 2024 Run14 .csv",0
"MATLAB 3-04 PM Tue, Oct 15, 2024 Run6 .csv",0
"MATLAB 3-04 PM Tue, Oct 22, 2024 Run15 .csv",0
"MATLAB 3-05 PM Mon, Oct 28, 2024 Run13 .csv",1
"MATLAB 3-05 PM Tue, Oct 15, 2024 Run7 .csv",-1
"MATLAB 3-06 PM Tue, Oct 22, 2024 Run16 .csv",-1
"MATLAB 3-08 PM Mon, Oct 28, 2024 Run14 .csv",1
"MATLAB 3-10 PM Mon, Oct 28, 2024 Run15 .csv",1
"MATLAB 3-10 PM Tue, Oct 22, 2024 Run17 .csv",-1
"MATLAB 3-13 PM Tue, Oct 15, 2024 Run8 .csv",-1
"MATLAB 3-15 PM Thu, Oct 24, 2024 Run15.csv",0
"MATLAB 3-18 PM Tue, Oct 15, 2024 Run9 .csv",-1
"MATLAB 3-19 PM Thu, Oct 17, 2024 Run4 .csv",0
"MATLAB 3-21 PM Thu, Oct 17, 2024 Run5 .csv",0
"MATLAB 3-28 PM Thu, Oct 17, 2024 Run6 .csv",0
"MATLAB 3-28 PM Tue, Oct 15, 2024 Run10 .csv",-1
"MATLAB 3-36 PM Tue, Oct 15, 2024 Run12 .csv",-1
"MATLAB 3-37 PM Tue, Oct 15, 2024 Run13 .csv",-1
"MATLAB 3-49 PM Thu, Oct 17, 2024 Run9 .csv",-1
"MATLAB 3-52 PM Thu, Oct 17, 2024 Run10 .csv",-1
"MATLAB 3-56 PM Thu, Oct 10, 2024 Run2 .csv",1
"MATLAB 3-56 PM Wed, Nov 6, 2024 Run6 .csv",1
"MATLAB 3-57 PM Thu, Aug 29, 2024 Run4 .csv",-1
"MATLAB 4-00 PM Wed, Nov 6, 2024 Run7 .csv",-1
"MATLAB 4-02 PM Wed, Nov 6, 2024 Run8 .csv",1
"MATLAB 4-05 PM Wed, Nov 6, 2024 Run9 .csv",-1
"MATLAB 4-12 PM Wed, Nov 6, 2024 Run10 .csv",0
"MATLAB 4-12 PM Wed, Nov 6, 2024 Run11 .csv",0
"MATLAB 4-18 PM Wed, Nov 6, 2024 Run12 .csv",-1
"MATLAB 4-20 PM Thu, Oct 17, 2024 Run14 .csv",0
"MATLAB 4-21 PM Wed, Nov 6, 2024 Run13 .csv",-1
"MATLAB 4-22 PM Thu, Oct 10, 2024 Run5 .csv",-1
"MATLAB 4-23 PM Thu, Oct 17, 2024 Run15 .csv",-1
"MATLAB 4-23 PM Wed, Nov 6, 2024 Run14 .csv",-1
"MATLAB 4-24 PM Thu, Oct 10, 2024 Run6 .csv",-1
"MATLAB 4-24 PM Thu, Oct 17, 2024 Run16 .csv",-1
"MATLAB 4-26 PM Thu, Oct 17, 2024 Run17 .csv",-1
"MATLAB 4-28 PM Thu, Oct 17, 2024 Run18 .csv",-1
"MATLAB 4-29 PM Wed, Nov 6, 2024 Run15 .csv",-1
"MATLAB 4-59 PM Tue, Oct 1, 2024 Run12 .csv",-1
"MATLAB 5-05 PM Thu, Oct 10, 2024 Run14.csv",-1
