file_name,a0_spectral_entropy,a0_spectral_centroid,a0_spectral_flatness,a0_spectral_bandwidth,a0_std_dev_time_diff,a0_mean_time_diff,a0_median_time_diff,a0_max_peak,a0_median_peak,a0_std_peak,a0_peaks_per_second,a0_sum_peak_magnitude,a0_percent_time_above_threshold,a0_num_boilings,a0_unused_peak_proportion,a0_skewness,a0_kurtosis,a0_crest_factor,a0_rms,a0_burstiness,a0_band_powers,a0_band_ratios,a0_spectrogram_features,a0_spectral_flux,a0_wavelet_energy_features,a0_regime_dominance,a0_rms_change_points,a0_skew_peak_magnitude,a0_kurtosis_peak_magnitude,a0_iqr_peak_magnitude,a1_spectral_entropy,a1_spectral_centroid,a1_spectral_flatness,a1_spectral_bandwidth,a1_std_dev_time_diff,a1_mean_time_diff,a1_median_time_diff,a1_max_peak,a1_median_peak,a1_std_peak,a1_peaks_per_second,a1_sum_peak_magnitude,a1_percent_time_above_threshold,a1_num_boilings,a1_unused_peak_proportion,num_peak_mag_high_diff,avg_peak_mag_diff,peak_mag_correlation,a1_skewness,a1_kurtosis,a1_crest_factor,a1_rms,a1_burstiness,a1_band_powers,a1_band_ratios,a1_spectrogram_features,a1_spectral_flux,a1_wavelet_energy_features,a1_regime_dominance,a1_rms_change_points,a1_skew_peak_magnitude,a1_kurtosis_peak_magnitude,a1_iqr_peak_magnitude
Boiling_at_Heater_T85_RefVideo1.csv,4.126415678226095,2201.3717315729104,0.09293957279535037,2969.4094335875707,1.2170761835270267,1.4009133330406334,1.0072599997999496,0.0176241767406463,0.0167740988731384,0.0010657087816202072,0.7000014001489766,0.11425676226615879,3.2e-05,0,1.0,-0.004765319985569593,0.017369201770527365,4.740627211048741,0.0037176888112126845,0.8687733600803167,"{'low_band_power': np.float64(0.008842765779108442), 'mid_band_power': np.float64(0.19167476974467632), 'high_band_power': np.float64(0.7994524276187027)}",{'high_to_low_ratio': np.float64(90.40750909714882)},"{'mean_spectral_entropy_time': np.float64(3.682474312309492), 'var_spectral_centroid_time': np.float64(295858.65892291773)}",3.905026007148242e-16,"{'wavelet_energy_low_scale': np.float64(19.939497518514106), 'wavelet_energy_mid_scale': np.float64(57.84164174974809), 'wavelet_energy_high_scale': np.float64(17.166440007342057)}",0.0,2.0,-0.16046638430462618,-1.7864526436118093,0.0020699363946914996,4.823646506517054,3032.7111446470767,0.17712227907467554,3606.446928683538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
Boiling_at_Heater_T93_RefVideo2.csv,3.810180707685516,1665.9502697008556,0.04383704475072628,1867.0128565197444,0.6924692948568345,0.48039454535706577,0.17727999996376553,0.0206980788707733,0.015521470904350201,0.0014938785013362786,1.985729226368742,0.1920244300365442,0.00011583382149015247,0,1.0,0.0035861995545903094,0.07360744293045896,4.866841680089705,0.004252876964428354,1.4414595285259508,"{'low_band_power': np.float64(0.015130629271492111), 'mid_band_power': np.float64(0.2732900535270158), 'high_band_power': np.float64(0.7115691743872457)}",{'high_to_low_ratio': np.float64(47.028392647748355)},"{'mean_spectral_entropy_time': np.float64(3.354057414810408), 'var_spectral_centroid_time': np.float64(131302.31999992888)}",7.77822956012777e-16,"{'wavelet_energy_low_scale': np.float64(15.07565428748766), 'wavelet_energy_mid_scale': np.float64(39.178524895388556), 'wavelet_energy_high_scale': np.float64(17.88992203479856)}",0.0,0.0,2.5191406522500457,5.190377407282128,0.0007254254817962488,4.23315207228011,1986.6813837188697,0.08861168843734485,2472.6050751426897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
Boiling_at_Heater_T98_RefVideo3.csv,3.6162284821159028,1387.868379064046,0.047419163963564985,2011.2917842414743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.068988025840776,1820.006497733073,0.09604621072581809,2650.6821442672463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
Calm_to_Boiling_50V_on_StartT65.csv,3.8406028644922885,1960.6718728902295,0.051594628888959354,2179.7605272117867,0.043059234866438825,0.035433736256380154,0.021809999995299645,0.036295690536499,0.0239441812038421,0.0035841095024612786,23.246833100172854,4.51339816093444,0.004982177473240803,3,0.0,-0.04558037972993154,0.7057357854512674,5.298585535743604,0.0070445822474826236,1.215204475048426,"{'low_band_power': np.float64(0.006817611955048948), 'mid_band_power': np.float64(0.12450256847030756), 'high_band_power': np.float64(0.8686537023154989)}",{'high_to_low_ratio': np.float64(127.41319219146762)},"{'mean_spectral_entropy_time': np.float64(3.3770993942135874), 'var_spectral_centroid_time': np.float64(111148.51220787919)}",9.32999308713889e-15,"{'wavelet_energy_low_scale': np.float64(66.67232587527603), 'wavelet_energy_mid_scale': np.float64(185.86980883450096), 'wavelet_energy_high_scale': np.float64(52.285255685189234)}",0.022054556006964595,0.0,0.8232669624889766,0.1513812846948417,0.00500312268733975,4.361142267440105,2425.287461405203,0.09197236443259733,2664.815448758566,0.07167215983503052,0.06229340907789314,0.03433999999259996,0.0310814940929412,0.0167059898376464,0.0024564551379536895,11.305836862925595,1.5518136131763418,0.001097552610117301,3,0.011235955056179775,2,0.006064288750123434,0.14034978414237323,-0.016292346846558656,0.6914501025401032,7.021836763948618,0.0044264051042199135,1.1505576736924121,"{'low_band_power': np.float64(0.0057761317327336), 'mid_band_power': np.float64(0.10844431447039875), 'high_band_power': np.float64(0.8857584680195283)}",{'high_to_low_ratio': np.float64(153.34803792647162)},"{'mean_spectral_entropy_time': np.float64(3.729321439500029), 'var_spectral_centroid_time': np.float64(183202.82090138493)}",1.0153167838733904e-15,"{'wavelet_energy_low_scale': np.float64(27.882221940607515), 'wavelet_energy_mid_scale': np.float64(51.915212684811635), 'wavelet_energy_high_scale': np.float64(15.914282617927716)}",0.04044117647058824,0.0,2.525236229073597,9.673339479679074,0.0026530396938324007
Calm_to_Boiling_50V_on_StartT80.csv,3.6700395478316366,1446.4364415985658,0.04385437977038088,1929.2287110171662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.9706103977232976,1707.3236414974008,0.08725877105654532,2489.5759043382996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"MATLAB 1-00 PM Fri, Jun 28, 2024 Run8 .csv",5.439864168409741,1910.8551324977448,0.28317550608032943,1009.3886347724484,0.01570958400890101,0.3043838706983682,0.3038999997293743,0.1052580165863037,0.09225722253322595,0.014027469161391297,3.200032003152586,2.884648324251174,0.00462,1,0.0,-0.08751807322542184,33.72229074799877,12.370524718667596,0.008880257819785504,0.051611092180599005,"{'low_band_power': np.float64(0.0022832371976872863), 'mid_band_power': np.float64(0.16025831384558473), 'high_band_power': np.float64(0.8372721123266396)}",{'high_to_low_ratio': np.float64(366.7039557583946)},"{'mean_spectral_entropy_time': np.float64(4.180224957522514), 'var_spectral_centroid_time': np.float64(349147.0799978815)}",2.0486961659128306e-12,"{'wavelet_energy_low_scale': np.float64(6.513067391474481), 'wavelet_energy_mid_scale': np.float64(15.56891581424103), 'wavelet_energy_high_scale': np.float64(0.43656149682491663)}",1.0,2.0,-1.6918619311208725,3.0253604018525806,0.01196020364761348,4.93137952653345,1623.1168089103899,0.19242360914358023,815.8675751355787,0.01615416041130799,0.3041290319889166,0.3014999997341894,0.2083166253566742,0.19135554790496825,0.02164551446771778,3.200032003152586,5.880768650770187,0.00381,1,0.0,0,0.09362876020371916,0.7139976015080887,0.2087149042448044,40.429871898667045,11.741167839069579,0.017754012742583945,0.05311614055936855,"{'low_band_power': np.float64(0.0005941052617076716), 'mid_band_power': np.float64(0.08987340605641027), 'high_band_power': np.float64(0.9093959579691461)}",{'high_to_low_ratio': np.float64(1530.6983738121016)},"{'mean_spectral_entropy_time': np.float64(3.888325518398002), 'var_spectral_centroid_time': np.float64(259564.54008424442)}",9.515793339179989e-11,"{'wavelet_energy_low_scale': np.float64(29.86937761771782), 'wavelet_energy_mid_scale': np.float64(32.05001037372243), 'wavelet_energy_high_scale': np.float64(0.30621463287142714)}",1.0,2.0,-2.207885803305541,4.406211679123996,0.01479893684387204
"MATLAB 1-00 PM Thu, Aug 22, 2024 Run1.csv",6.022721529631734,2857.4110878142287,0.3969592870269998,1263.5407849708795,0.903641581450596,1.2182499989231863,1.113599999014869,0.0768565487861633,0.0225402355194091,0.020522902919875602,0.7000070006896282,0.2092881429195401,0.00035,0,1.0,1.548618201056956,191.66659379102478,49.0494372816913,0.0015669200921669202,0.7417538126405309,"{'low_band_power': np.float64(0.005212425839248053), 'mid_band_power': np.float64(0.13347157833858783), 'high_band_power': np.float64(0.8570249938652703)}",{'high_to_low_ratio': np.float64(164.41960428714805)},"{'mean_spectral_entropy_time': np.float64(4.988478748478457), 'var_spectral_centroid_time': np.float64(493530.7365779571)}",2.2315285252180874e-15,"{'wavelet_energy_low_scale': np.float64(0.08953681228722432), 'wavelet_energy_mid_scale': np.float64(0.004015941129085704), 'wavelet_energy_high_scale': np.float64(0.004276917170593203)}",0.0,2.0,1.5803320654654236,1.011454420990221,0.013970384001731898,5.694182894525903,1811.7985042556284,0.43809991972321743,1253.3633358443974,0.4655781958931742,1.1162249990117465,1.1554999989777441,0.0397968804836273,0.0200324094295501,0.008630065647437981,0.5000050004925916,0.1287800502777097,0.00016,0,1.0,0,0.01878511452674868,-0.4319848937971969,-0.7208507942030963,9.902886251924208,21.03364167321845,0.0025170118021446463,0.4171006708373091,"{'low_band_power': np.float64(0.017109117453568065), 'mid_band_power': np.float64(0.3099996559907144), 'high_band_power': np.float64(0.6725932614499218)}",{'high_to_low_ratio': np.float64(39.31197873153031)},"{'mean_spectral_entropy_time': np.float64(3.8538350926615075), 'var_spectral_centroid_time': np.float64(421229.0623167931)}",1.7264746967136524e-15,"{'wavelet_energy_low_scale': np.float64(0.14619060209989337), 'wavelet_energy_mid_scale': np.float64(0.0030939428607725996), 'wavelet_energy_high_scale': np.float64(0.002948907830237513)}",0.0,1.0,0.6330940798309221,-1.302265146431665,0.012589248418807895
"MATLAB 1-02 PM Mon, Mar 11, 2024 Run4 .csv",4.807220506399118,1190.9354735825236,0.15743568913522943,719.5554015117594,0.15938781087257464,0.14840999986836814,0.11754999989558346,0.0265381073951721,0.0178889024257659,0.0022536739240670823,6.733378228493666,1.845957903861995,0.004206666666666667,2,0.8415841584158416,-0.05156755360517183,0.12169584976139669,4.883086427564687,0.005570626206538273,1.0739694832824151,"{'low_band_power': np.float64(0.006050164199360222), 'mid_band_power': np.float64(0.3754152084634585), 'high_band_power': np.float64(0.6185171649029285)}",{'high_to_low_ratio': np.float64(102.2314675308042)},"{'mean_spectral_entropy_time': np.float64(4.3605056169097915), 'var_spectral_centroid_time': np.float64(25919.0457138004)}",6.513669509860549e-14,"{'wavelet_energy_low_scale': np.float64(12.534577294321009), 'wavelet_energy_mid_scale': np.float64(1.4792812966210702), 'wavelet_energy_high_scale': np.float64(0.15006539838454871)}",0.5,1.0,1.051865271135677,1.5091380954841487,0.002787330150604301,5.061525607748599,1352.8009345265432,0.2152013360479007,896.8798141319595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"MATLAB 1-02 PM Thu, Nov 7, 2024 Run8 .csv",5.700523466214685,2294.8718454381756,0.2601321043988069,1356.9178434613618,0.0009449338594950527,0.23580999979124032,0.23559999979126295,0.2867351841926575,0.2551923477649689,0.02265522873123496,4.20008400539781,5.321330028772353,0.0004,1,0.0,1.5285514573324797,58.057355177889825,17.777887562975184,0.016128754509046488,0.004007183157336801,"{'low_band_power': np.float64(0.00017960465865765108), 'mid_band_power': np.float64(0.2038479886186318), 'high_band_power': np.float64(0.795432082485709)}",{'high_to_low_ratio': np.float64(4428.79426642213)},"{'mean_spectral_entropy_time': np.float64(2.5738513181212137), 'var_spectral_centroid_time': np.float64(457622.5399895293)}",1.676217318918616e-11,"{'wavelet_energy_low_scale': np.float64(14.752301235465987), 'wavelet_energy_mid_scale': np.float64(0.05639307594782732), 'wavelet_energy_high_scale': np.float64(0.10656064467506202)}",1.0,1.0,-0.40525634216350664,-1.058759462362168,0.03877331733703612,5.308989046859168,2144.0924624139006,0.24034658443495102,1207.4333525905374,0.0012130436916114808,0.23574499979129732,0.2355999997917856,0.2103264844417572,0.1923816812038422,0.011931573223062599,4.20008400539781,4.0252870476245874,0.00052,1,0.0,0,0.06171633243560794,-0.5879004306974205,0.5924224765027378,32.97700477799756,12.948236092615607,0.016243639901013747,0.005145575484889929,"{'low_band_power': np.float64(0.00018611165810550903), 'mid_band_power': np.float64(0.29148409516798784), 'high_band_power': np.float64(0.7076399016117906)}",{'high_to_low_ratio': np.float64(3802.2330724205394)},"{'mean_spectral_entropy_time': np.float64(2.4186048812789545), 'var_spectral_centroid_time': np.float64(430587.02158378414)}",2.3631795163982756e-11,"{'wavelet_energy_low_scale': np.float64(17.91751299450009), 'wavelet_energy_mid_scale': np.float64(0.04669367139170392), 'wavelet_energy_high_scale': np.float64(0.06986483677906057)}",1.0,1.0,-0.32707514933573156,-0.923031762092128,0.018076523542404216
"MATLAB 1-04 PM Thu, Aug 22, 2024 Run2.csv",5.897196068948194,2799.657009298429,0.320283095985315,1269.319138094865,0.3621314856407515,0.5757749994904593,0.5656499995003332,0.0800017726421356,0.0333901333808899,0.016792678853608592,1.7000170016748113,0.6206339478492732,0.00121,1,0.5882352941176471,-1.1890736950480223,187.92017291443636,40.73933747361801,0.00262694149224711,0.628946178561461,"{'low_band_power': np.float64(0.0013470907155534247), 'mid_band_power': np.float64(0.15262815348555545), 'high_band_power': np.float64(0.8441939707462658)}",{'high_to_low_ratio': np.float64(626.6793772678078)},"{'mean_spectral_entropy_time': np.float64(4.52442625557835), 'var_spectral_centroid_time': np.float64(802036.3709575521)}",2.976954838411713e-14,"{'wavelet_energy_low_scale': np.float64(0.41512525761380137), 'wavelet_energy_mid_scale': np.float64(0.007616585740990801), 'wavelet_energy_high_scale': np.float64(0.009658786461965049)}",1.0,1.0,1.2510205411828201,0.8410472818761932,0.014401848316192598,5.499477000671675,1864.7241584502838,0.38136116484945026,1288.9060239090068,0.3199215714662812,0.7085846147575433,0.7005999993792207,0.0758124244213104,0.026672719120979252,0.014642441783363387,1.4000140013792564,0.40786838889121957,0.00095,1,0.5,1,0.010957018136978159,0.5254259993104917,-0.48366205600582973,134.21227503517562,33.53674074976419,0.0023756676656910254,0.45149381570435154,"{'low_band_power': np.float64(0.0031409219087742734), 'mid_band_power': np.float64(0.3495971413608672), 'high_band_power': np.float64(0.6470212697162931)}",{'high_to_low_ratio': np.float64(205.99724810375483)},"{'mean_spectral_entropy_time': np.float64(3.868334251249195), 'var_spectral_centroid_time': np.float64(692070.8236508941)}",1.5935066382832627e-14,"{'wavelet_energy_low_scale': np.float64(0.6584311454918915), 'wavelet_energy_mid_scale': np.float64(0.0042308488911480605), 'wavelet_energy_high_scale': np.float64(0.003488478010294568)}",1.0,0.0,2.1795963605056006,4.551326017769425,0.009011435806751223
