subcluster,rank,feature,abs_z_mean_diff_vs_rest,cluster_z_mean,rest_z_mean
0,1,a1_spectral_entropy_feat,1.4907793632858521,-1.202787895378357,0.287991467907495
0,2,a1_spectral_entropy_sub,1.4907793632858521,-1.202787895378357,0.287991467907495
0,3,a1_spectral_centroid_feat,1.4224298178414203,-1.1476422393947825,0.27478757844663776
0,4,a1_spectral_centroid_sub,1.4224298178414203,-1.1476422393947825,0.27478757844663776
0,5,a0_crest_factor_sub,1.3301085592164401,-1.0731557693678098,0.2569527898486304
0,6,a0_crest_factor_feat,1.3301085592164401,-1.0731557693678098,0.2569527898486304
0,7,a0_spectral_entropy_sub,1.329557278364912,-1.0727109859535071,0.25684629241140494
0,8,a0_spectral_entropy_feat,1.329557278364912,-1.0727109859535071,0.25684629241140494
0,9,a1_crest_factor_sub,1.3117765880872714,-1.05836520175223,0.25341138633504134
0,10,a1_crest_factor_feat,1.3117765880872714,-1.05836520175223,0.2534113863350413
1,1,a0_burstiness_feat,1.4988275185084075,1.0815403116509532,-0.41728720685745424
1,2,a0_burstiness_sub,1.4988275185084075,1.0815403116509532,-0.41728720685745424
1,3,a1_burstiness_sub,1.4538739070221216,1.0491021942716445,-0.404771712750477
1,4,a1_burstiness_feat,1.4538739070221216,1.0491021942716445,-0.404771712750477
1,5,a0_regime_dominance_sub,1.4309057191188213,-1.032528558682331,0.39837716043649024
1,6,a0_regime_dominance_feat,1.4309057191188213,-1.032528558682331,0.39837716043649024
1,7,a0_num_boilings_feat,1.3518208536899496,0.9754616387421796,-0.37635921494777
1,8,a0_num_boilings_sub,1.3518208536899496,0.9754616387421796,-0.37635921494777
1,9,a1_regime_dominance_sub,1.333166768903805,-0.9620010207430865,0.37116574816071846
1,10,a1_regime_dominance_feat,1.333166768903805,-0.9620010207430865,0.37116574816071846
2,1,a0_std_dev_time_diff_feat,3.9923476522016577,3.8108773043743094,-0.18147034782734808
2,2,a0_std_dev_time_diff_sub,3.9923476522016577,3.8108773043743094,-0.18147034782734808
2,3,a1_std_dev_time_diff_feat,3.848475604301669,3.673544895015229,-0.17493070928643947
2,4,a1_std_dev_time_diff_sub,3.848475604301669,3.673544895015229,-0.17493070928643947
2,5,a1_kurtosis_sub,2.600909959317401,2.4826867793484286,-0.11822317996897275
2,6,a1_kurtosis_feat,2.600909959317401,2.4826867793484286,-0.11822317996897275
2,7,a0_kurtosis_feat,2.549973237862567,2.434065363414269,-0.11590787444829832
2,8,a0_kurtosis_sub,2.549973237862567,2.434065363414269,-0.11590787444829832
2,9,a0_crest_factor_feat,2.1731303926807617,2.0743517384679997,-0.09877865421276202
2,10,a0_crest_factor_sub,2.1731303926807617,2.0743517384679997,-0.09877865421276202
3,1,a1_skewness_sub,2.315721764489701,2.144674134158075,-0.1710476303316257
3,2,a1_skewness_feat,2.315721764489701,2.144674134158075,-0.1710476303316257
3,3,a0_skewness_sub,2.1659319600610445,2.005948349374717,-0.1599836106863271
3,4,a0_skewness_feat,2.1659319600610445,2.005948349374717,-0.1599836106863271
3,5,a0_mean_time_diff_sub,1.9342881475341474,1.7914145911821935,-0.14287355635195395
3,6,a0_mean_time_diff_feat,1.9342881475341474,1.7914145911821935,-0.14287355635195395
3,7,a1_mean_time_diff_sub,1.917900859541904,1.7762377278711954,-0.14166313167070863
3,8,a1_mean_time_diff_feat,1.917900859541904,1.7762377278711954,-0.14166313167070863
3,9,a0_median_time_diff_sub,1.8135339388952292,1.679579727499559,-0.13395421139567032
3,10,a0_median_time_diff_feat,1.8135339388952292,1.679579727499559,-0.13395421139567032
4,1,a0_num_boilings_sub,1.4003992531857583,-0.8275086496097662,0.5728906035759921
4,2,a0_num_boilings_feat,1.4003992531857583,-0.8275086496097662,0.5728906035759921
4,3,a0_regime_dominance_feat,1.3799683768265558,0.8154358590338743,-0.5645325177926815
4,4,a0_regime_dominance_sub,1.3799683768265558,0.8154358590338743,-0.5645325177926815
4,5,a1_num_boilings_feat,1.308279342210752,-0.7730741567608989,0.535205185449853
4,6,a1_num_boilings_sub,1.3082793422107517,-0.7730741567608989,0.5352051854498528
4,7,a1_regime_dominance_feat,1.2266774786698575,0.7248548737594613,-0.5018226049103963
4,8,a1_regime_dominance_sub,1.2266774786698575,0.7248548737594613,-0.5018226049103963
4,9,a0_peaks_per_second_sub,1.0595831799046107,-0.6261173335799973,0.4334658463246133
4,10,a0_peaks_per_second_feat,1.0595831799046107,-0.6261173335799973,0.4334658463246133
