subcluster,rank,feature,abs_z_mean_diff_vs_rest,cluster_z_mean,rest_z_mean
0,1,a1_spectral_entropy,1.4907793632858521,-1.202787895378357,0.287991467907495
0,2,a1_spectral_centroid,1.4224298178414203,-1.1476422393947825,0.27478757844663776
0,3,a0_crest_factor,1.3301085592164401,-1.0731557693678098,0.2569527898486304
0,4,a0_spectral_entropy,1.329557278364912,-1.0727109859535071,0.25684629241140494
0,5,a1_crest_factor,1.3117765880872714,-1.05836520175223,0.25341138633504134
0,6,a1_peaks_per_second,1.1304725893670722,0.9120858391484331,-0.21838675021863896
0,7,a0_peaks_per_second,1.1204678161594372,0.9040138062195459,-0.2164540099398914
0,8,a0_num_boilings,1.0687403702159053,0.8622791623332873,-0.20646120788261804
0,9,a0_spectral_centroid,1.0499776182275862,-0.847141032888166,0.20283658533942006
0,10,a1_kurtosis,0.9960612324603697,-0.8036403125532527,0.19242091990711693
1,1,a0_burstiness,1.4988275185084075,1.0815403116509532,-0.41728720685745424
1,2,a1_burstiness,1.4538739070221216,1.0491021942716445,-0.404771712750477
1,3,a0_regime_dominance,1.4309057191188213,-1.032528558682331,0.39837716043649024
1,4,a0_num_boilings,1.3518208536899496,0.9754616387421796,-0.37635921494777
1,5,a1_regime_dominance,1.333166768903805,-0.9620010207430865,0.37116574816071846
1,6,a1_num_boilings,1.2927748255424345,0.9328545616130066,-0.35992026392942783
1,7,a1_percent_time_above_threshold,1.1369984424131465,0.82044773969585,-0.3165507027172964
1,8,a0_percent_time_above_threshold,1.1346986856202834,0.8187882561009999,-0.31591042951928344
1,9,a0_skew_peak_magnitude,1.1320992358210284,0.8169125167572194,-0.3151867190638091
1,10,num_peak_mag_high_diff,1.122636373726039,0.8100842014954939,-0.312552172230545
2,1,a0_std_dev_time_diff,3.9923476522016577,3.8108773043743094,-0.18147034782734808
2,2,a1_std_dev_time_diff,3.848475604301669,3.673544895015229,-0.17493070928643947
2,3,a1_kurtosis,2.600909959317401,2.4826867793484286,-0.11822317996897275
2,4,a0_kurtosis,2.549973237862567,2.434065363414269,-0.11590787444829832
2,5,a0_crest_factor,2.1731303926807617,2.0743517384679997,-0.09877865421276202
2,6,a1_crest_factor,2.110995215682451,2.0150408876968853,-0.09595432798556569
2,7,a0_median_time_diff,1.6750646268051985,1.5989253255867804,-0.0761393012184181
2,8,a0_mean_time_diff,1.599826588024292,1.5271071976595514,-0.07271939036474044
2,9,a1_median_time_diff,1.5986829007917682,1.526015496210324,-0.07266740458144415
2,10,a1_mean_time_diff,1.5571255129604604,1.4863470805531669,-0.07077843240729344
3,1,a1_skewness,2.315721764489701,2.144674134158075,-0.1710476303316257
3,2,a0_skewness,2.1659319600610445,2.005948349374717,-0.1599836106863271
3,3,a0_mean_time_diff,1.9342881475341474,1.7914145911821935,-0.14287355635195395
3,4,a1_mean_time_diff,1.917900859541904,1.7762377278711954,-0.14166313167070863
3,5,a0_median_time_diff,1.8135339388952292,1.679579727499559,-0.13395421139567032
3,6,a1_median_time_diff,1.785284511524364,1.6534169055594963,-0.1318676059648679
3,7,a0_kurtosis,1.6796451065438964,1.555580411174177,-0.12406469536971948
3,8,a0_crest_factor,1.6771714130642021,1.5532894336901417,-0.12388197937406045
3,9,a1_crest_factor,1.4934662770353513,1.3831534270270585,-0.11031285000829276
3,10,a1_kurtosis,1.4721906266637355,1.3634492735578914,-0.10874135310584401
4,1,a0_num_boilings,1.4003992531857583,-0.8275086496097662,0.5728906035759921
4,2,a0_regime_dominance,1.3799683768265558,0.8154358590338743,-0.5645325177926815
4,3,a1_num_boilings,1.3082793422107517,-0.7730741567608989,0.5352051854498528
4,4,a1_regime_dominance,1.2266774786698575,0.7248548737594613,-0.5018226049103963
4,5,a0_peaks_per_second,1.0595831799046107,-0.6261173335799973,0.4334658463246133
4,6,a1_peaks_per_second,1.0592286996826297,-0.6259078679942812,0.43332083168834856
4,7,a0_skewness,0.8413602891182477,-0.49716744356987363,0.34419284554837404
4,8,a1_var_spectral_centroid_time,0.8106239041164014,0.4790050342506007,-0.3316188698658007
4,9,a1_spectral_entropy,0.6546946022639021,0.3868649922468521,-0.26782961001704997
4,10,a1_spectral_centroid,0.6246346024638247,0.36910226509225974,-0.255532337371565
