feature,difference,p_value,significant,max_cluster,min_cluster
a1_spectral_centroid_x,1386.8472281613099,6.198645536020682e-65,True,0,6
a1_spectral_centroid_y,1386.8472281613099,6.198645536020682e-65,True,0,6
a0_spectral_centroid_x,1221.656083017114,2.13768979000819e-56,True,5,6
a0_spectral_centroid_y,1221.656083017114,2.13768979000819e-56,True,5,6
a0_spectral_bandwidth_y,699.7353509769042,3.119812743349715e-29,True,6,3
a0_spectral_bandwidth_x,699.7353509769042,3.119812743349715e-29,True,6,3
a1_spectral_bandwidth_x,609.1427268192663,5.6026658332707686e-18,True,6,3
a1_spectral_bandwidth_y,609.1427268192663,5.6026658332707686e-18,True,6,3
a1_sum_peak_magnitude_y,17.20090984178321,8.628714868477542e-31,True,2,6
a1_sum_peak_magnitude_x,17.20090984178321,8.628714868477542e-31,True,2,6
a0_sum_peak_magnitude_x,16.309243191623683,2.4717455590516783e-37,True,2,-1
a0_sum_peak_magnitude_y,16.309243191623683,2.4717455590516783e-37,True,2,-1
a0_peaks_per_second_x,12.752774341011207,3.0239470015863037e-124,True,2,-1
a0_peaks_per_second_y,12.752774341011207,3.0239470015863037e-124,True,2,-1
a1_peaks_per_second_y,12.349565532389956,2.367037834962497e-114,True,2,-1
a1_peaks_per_second_x,12.349565532389956,2.367037834962497e-114,True,2,-1
num_peak_mag_high_diff_x,3.013333333333333,1.585032602113946e-23,True,2,-1
num_peak_mag_high_diff_y,3.013333333333333,1.585032602113946e-23,True,2,-1
a0_num_boilings_y,2.96,9.424552859779852e-201,True,2,-1
a0_num_boilings_x,2.96,9.424552859779852e-201,True,2,-1
a1_num_boilings_x,2.933333333333333,1.0441973794818537e-133,True,2,6
a1_num_boilings_y,2.933333333333333,1.0441973794818537e-133,True,2,6
a1_mean_time_diff_x,2.6966873319790166,1.0942815004952217e-41,True,4,6
a1_mean_time_diff_y,2.6966873319790166,1.0942815004952217e-41,True,4,6
a0_mean_time_diff_x,2.684439026046036,1.333063094513173e-44,True,4,-1
a0_mean_time_diff_y,2.684439026046036,1.333063094513173e-44,True,4,-1
a1_median_time_diff_x,2.57118478053443,3.0387943999856485e-37,True,4,6
a1_median_time_diff_y,2.57118478053443,3.0387943999856485e-37,True,4,6
a0_median_time_diff_y,2.5646144555566166,2.028076144158595e-40,True,4,-1
a0_median_time_diff_x,2.5646144555566166,2.028076144158595e-40,True,4,-1
a1_spectral_entropy_y,1.8891948795832993,1.3764115539305698e-90,True,5,6
a1_spectral_entropy_x,1.8891948795832993,1.3764115539305698e-90,True,5,6
a0_spectral_entropy_x,1.4550718465068702,6.111295117913284e-57,True,5,6
a0_spectral_entropy_y,1.4550718465068702,6.111295117913284e-57,True,5,6
a1_std_dev_time_diff_y,1.075124666425994,9.179043952641553e-32,True,4,6
a1_std_dev_time_diff_x,1.075124666425994,9.179043952641553e-32,True,4,6
a0_std_dev_time_diff_y,1.026313552625606,1.338589359694699e-41,True,4,-1
a0_std_dev_time_diff_x,1.026313552625606,1.338589359694699e-41,True,4,-1
a0_unused_peak_proportion_y,0.9064979382576344,2.1772435565463416e-135,True,4,-1
a0_unused_peak_proportion_x,0.9064979382576344,2.1772435565463416e-135,True,4,-1
a1_unused_peak_proportion_y,0.8940546848085524,1.553000569258887e-122,True,4,5
a1_unused_peak_proportion_x,0.8940546848085524,1.553000569258887e-122,True,4,5
peak_mag_correlation_x,0.35061499150971687,1.8456394826130934e-05,True,4,0
peak_mag_correlation_y,0.35061499150971687,1.8456394826130934e-05,True,4,0
a1_max_peak_y,0.27658248120232637,1.7328785460923724e-69,True,0,6
a1_max_peak_x,0.27658248120232637,1.7328785460923724e-69,True,0,6
a0_spectral_flatness_x,0.26110519584044767,6.624548751434782e-26,True,6,1
a0_spectral_flatness_y,0.26110519584044767,6.624548751434782e-26,True,6,1
a0_max_peak_y,0.24972927108407017,1.177846253961242e-83,True,0,-1
a0_max_peak_x,0.24972927108407017,1.177846253961242e-83,True,0,-1
a1_median_peak_y,0.2302112846457296,2.0720355786580553e-89,True,0,5
a1_median_peak_x,0.2302112846457296,2.0720355786580553e-89,True,0,5
a0_median_peak_y,0.21278309393674136,5.0471544354804366e-95,True,0,-1
a0_median_peak_x,0.21278309393674136,5.0471544354804366e-95,True,0,-1
a1_spectral_flatness_x,0.17787761401653646,2.198601607732539e-15,True,5,3
a1_spectral_flatness_y,0.17787761401653646,2.198601607732539e-15,True,5,3
avg_peak_mag_diff_x,0.046054450697834946,9.779050480947675e-33,True,0,-1
avg_peak_mag_diff_y,0.046054450697834946,9.779050480947675e-33,True,0,-1
a1_std_peak_y,0.04448076952508957,7.801582791423625e-42,True,4,6
a1_std_peak_x,0.04448076952508957,7.801582791423625e-42,True,4,6
a0_std_peak_x,0.037312666156099454,4.062396247365129e-40,True,4,-1
a0_std_peak_y,0.037312666156099454,4.062396247365129e-40,True,4,-1
a1_percent_time_above_threshold_y,0.004806193099129046,3.3034887030982764e-32,True,2,6
a1_percent_time_above_threshold_x,0.004806193099129046,3.3034887030982764e-32,True,2,6
a0_percent_time_above_threshold_x,0.004449673477420985,1.835634169521838e-38,True,2,-1
a0_percent_time_above_threshold_y,0.004449673477420985,1.835634169521838e-38,True,2,-1
