subcluster,points_removed,stability_score
0,0,1.0
1,0,1.0
2,0,1.0
overall,0,1.0
0,2,0.8959999999999999
1,2,0.996
2,2,0.978
overall,2,0.9566666666666667
0,4,0.8639999999999999
1,4,0.9840000000000001
2,4,0.9560000000000001
overall,4,0.9346666666666666
0,6,0.83
1,6,0.97
2,6,0.948
overall,6,0.9159999999999999
0,8,
1,8,0.9560000000000001
2,8,0.922
overall,8,0.9390000000000001
0,10,
1,10,0.914
2,10,0.92
overall,10,0.917
0,12,
1,12,0.8839999999999999
2,12,0.9080000000000001
overall,12,0.896
0,14,
1,14,0.8320000000000001
2,14,0.894
overall,14,0.863
0,16,
1,16,
2,16,0.898
overall,16,0.898
0,18,
1,18,
2,18,0.91
overall,18,0.91
0,20,
1,20,
2,20,0.892
overall,20,0.892
0,22,
1,22,
2,22,0.8780000000000001
overall,22,0.8780000000000001
0,24,
1,24,
2,24,0.8939999999999999
overall,24,0.8939999999999999
